dataset,user_id,transaction_id
carefull_bank,1000246733543609227396047,2151
carefull_bank,1000353199575450734062573,6431
carefull_bank,1000426083218731996076108,882
carefull_bank,1000783723073547503749444,2291
carefull_bank,1000854676085313400216456,949
carefull_bank,1000925877815438930451745,2243
carefull_bank,1001006567341356547914576,3106
carefull_bank,1001197321346297789355844,1161
carefull_bank,1001594534529624419097523,5024
carefull_bank,1001726439581942728066305,3224
carefull_bank,100180200614365211053386,2039
carefull_bank,1002045389183972721401873,10281
carefull_bank,1002055959844460275753639,1296
carefull_bank,100223640500289880241518,3427
carefull_bank,1002346298224940584742184,127
carefull_bank,1002467894323171966056409,6646
carefull_bank,1002611732915130040069312,26597
carefull_bank,1002830180950020580634298,3517
carefull_bank,1002951127860448349864779,2594
carefull_bank,1002999137046366023263252,4684
carefull_bank,1003119061374864978485355,3502
carefull_bank,1003196226736053522350526,1768
carefull_bank,1003222258527838969779180,2477
carefull_bank,1003302441420611091540588,910
carefull_bank,10036399241569457588695,9889
carefull_bank,1003715642887477270993616,3103
carefull_bank,1004089130697333600362704,3495
carefull_bank,10042159534227829796266,13571
carefull_bank,1004336873275485783031482,5676
carefull_bank,1004656903840552974104719,3093
carefull_bank,1004704740489074957460323,1167
carefull_bank,1004921574135984473376389,1756
carefull_bank,1004941197121661914844404,2294
carefull_bank,1005304471733527417429566,3162
carefull_bank,10053057406462989542491,3588
carefull_bank,1005527254512731799155204,764
carefull_bank,1005562150894924865514491,14497
carefull_bank,1005765946222464636016448,1716
carefull_bank,1005801685510772055421580,3195
carefull_bank,1006442514342823881100558,1877
carefull_bank,1006581023052381058454259,6728
carefull_bank,1006665406724599966527505,25035
carefull_bank,1007481034811395393950927,6132
carefull_bank,1007627289386880951292076,4328
carefull_bank,1007725643209149981122349,1886
carefull_bank,1008272240747388062746650,494
carefull_bank,1008280779600406700631144,7579
carefull_bank,100872626634747664972018,1583
carefull_bank,1008876076088967403344613,10840
carefull_bank,1009490196701100224363286,8580
carefull_bank,100955678301428504704043,1470
carefull_bank,1009703708897433057949239,1095
carefull_bank,1010132137356769911491702,1863
carefull_bank,1010408525397675303585907,2523
carefull_bank,1010977883073490108838503,398
carefull_bank,1011065842427162274497069,899
carefull_bank,1011614156522802111530599,30561
carefull_bank,1011815320477631222431835,3084
carefull_bank,1011832128056001429383247,8587
carefull_bank,1011954949139855446000803,267
carefull_bank,101207192806285786405481,3248
carefull_bank,1012074104923993190358014,5427
carefull_bank,1012291182966266753277803,3718
carefull_bank,1012343539136017041556876,4581
carefull_bank,1012567676987867179815591,2532
carefull_bank,101257624191210045807654,2083
carefull_bank,1012920284931221650066197,4358
carefull_bank,1013573667615714918273691,5209
carefull_bank,1013714185035708687830527,4425
carefull_bank,1013953126258732226832448,604
carefull_bank,1013962648912951554467933,1637
carefull_bank,1014162639202958141856600,3825
carefull_bank,1014231170793761241435417,11791
carefull_bank,1014241861892914507522472,893
carefull_bank,1014622522070014507411849,4831
carefull_bank,1014668508274418719869579,3208
carefull_bank,1014879854399205363424247,9337
carefull_bank,1015146666252799240036519,3227
carefull_bank,101542595265624206478719,2405
carefull_bank,1015455769087443615814609,2653
carefull_bank,1015536299383512742844055,10741
carefull_bank,1015583713550553860377499,18486
carefull_bank,1015697722129814911446092,1583
carefull_bank,1016371349270588818562768,10073
carefull_bank,101653598612151939316482,3440
carefull_bank,1016631143108629228214076,398
